BREAKING: Aliens land in New York City
Request Number,Latency (seconds)
1,0.09758210182189941
2,0.05684781074523926
3,0.05803179740905762
4,0.05626678466796875
5,0.05784487724304199
6,0.06720900535583496
7,0.14913582801818848
8,0.10345196723937988
9,0.08592104911804199
10,0.14120888710021973
11,0.1359717845916748
12,0.11999893188476562
13,0.12837719917297363
14,0.08900690078735352
15,0.13776516914367676
16,0.1592419147491455
17,0.11690425872802734
18,0.07852792739868164
19,0.05875372886657715
20,0.05598282814025879
21,0.06012272834777832
22,0.08430600166320801
23,0.053884029388427734
24,0.0599210262298584
25,0.07851600646972656
26,0.15347504615783691
27,0.16766095161437988
28,0.14327216148376465
29,0.09047198295593262
30,0.26192688941955566
31,0.12058091163635254
32,0.12659597396850586
33,0.09071993827819824
34,0.11815285682678223
35,0.12789392471313477
36,0.17003989219665527
37,0.0959320068359375
38,0.07509708404541016
39,0.13740229606628418
40,0.10634326934814453
41,0.1413729190826416
42,0.11611485481262207
43,0.14621210098266602
44,0.11990189552307129
45,0.1322021484375
46,0.1002810001373291
47,0.15755605697631836
48,0.09203124046325684
49,0.13617205619812012
50,0.1253950595855713
51,0.09467315673828125
52,0.14667487144470215
53,0.15764808654785156
54,0.09229493141174316
55,0.13501906394958496
56,0.12311172485351562
57,0.11063194274902344
58,0.1269669532775879
59,0.15244793891906738
60,0.09679102897644043
61,0.1362440586090088
62,0.1454639434814453
63,0.10958194732666016
64,0.10381627082824707
65,0.15952587127685547
66,0.0926980972290039
67,0.11409401893615723
68,0.09514594078063965
69,0.15688705444335938
70,0.15372395515441895
71,0.11679410934448242
72,0.13155317306518555
73,0.1060643196105957
74,0.12756776809692383
75,0.12952208518981934
76,0.09368395805358887
77,0.12682795524597168
78,0.08368110656738281
79,0.18470191955566406
80,0.14641618728637695
81,0.13934898376464844
82,0.13035893440246582
83,0.12127995491027832
84,0.11315608024597168
85,0.12647080421447754
86,0.14283180236816406
87,0.1641852855682373
88,0.08006596565246582
89,0.2621603012084961
90,0.13042116165161133
91,0.13798880577087402
92,0.13616108894348145
93,0.18798589706420898
94,0.12379789352416992
95,0.119873046875
96,0.1878819465637207
97,0.11141800880432129
98,0.18878793716430664
99,0.08768582344055176
100,0.21358275413513184
