OnePlus officially shames One UI for its failure in system fluency.
Request Number,Latency (seconds)
1,0.09530496597290039
2,0.10255265235900879
3,0.10032081604003906
4,0.09376788139343262
5,0.10934925079345703
6,0.10065197944641113
7,0.11260080337524414
8,0.1365509033203125
9,0.10262775421142578
10,0.06721377372741699
11,0.06896519660949707
12,0.06338906288146973
13,0.06019902229309082
14,0.05765509605407715
15,0.09632110595703125
16,0.10208320617675781
17,0.10621905326843262
18,0.12644362449645996
19,0.15428805351257324
20,0.1149909496307373
21,0.20029735565185547
22,0.11295890808105469
23,0.14586806297302246
24,0.10530209541320801
25,0.1459970474243164
26,0.09775495529174805
27,0.15479111671447754
28,0.11072731018066406
29,0.07717704772949219
30,0.06682014465332031
31,0.08499908447265625
32,0.20366120338439941
33,0.11776375770568848
34,0.12989425659179688
35,0.14634227752685547
36,0.16283321380615234
37,0.06496000289916992
38,0.07031488418579102
39,0.10903215408325195
40,0.13959598541259766
41,0.13585495948791504
42,0.14725399017333984
43,0.15374493598937988
44,0.10119509696960449
45,0.09872698783874512
46,0.14581680297851562
47,0.13000893592834473
48,0.11570882797241211
49,0.11779093742370605
50,0.1386852264404297
51,0.1559600830078125
52,0.1022489070892334
53,0.1231999397277832
54,0.06700587272644043
55,0.07257914543151855
56,0.1836259365081787
57,0.1378791332244873
58,0.1714630126953125
59,0.13576292991638184
60,0.15379786491394043
61,0.09568524360656738
62,0.0784449577331543
63,0.16233301162719727
64,0.14894914627075195
65,0.09926199913024902
66,0.10020112991333008
67,0.09233903884887695
68,0.10049724578857422
69,0.10830163955688477
70,0.09688401222229004
71,0.18165993690490723
72,0.13175034523010254
73,0.3210749626159668
74,0.11012506484985352
75,0.10969996452331543
76,0.09824800491333008
77,0.17885494232177734
78,0.15445876121520996
79,0.10527515411376953
80,0.06439614295959473
81,0.06090068817138672
82,0.09335112571716309
83,0.09740114212036133
84,0.08428692817687988
85,0.06755900382995605
86,0.06184196472167969
87,0.06510615348815918
88,0.06866216659545898
89,0.11405611038208008
90,0.0895688533782959
91,0.07430410385131836
92,0.06400203704833984
93,0.06390213966369629
94,0.06402707099914551
95,0.068328857421875
96,0.06988024711608887
97,0.09615683555603027
98,0.06252884864807129
99,0.061224937438964844
100,0.060251712799072266
