Scientists discover that the Earth is actually flat
Request Number,Latency (seconds)
1,0.08038115501403809
2,0.2225501537322998
3,0.1257460117340088
4,0.08684301376342773
5,0.08235907554626465
6,0.06963777542114258
7,0.11298990249633789
8,0.13004398345947266
9,0.17382407188415527
10,0.1357569694519043
11,0.13475990295410156
12,0.11399197578430176
13,0.17560195922851562
14,0.12025713920593262
15,0.156019926071167
16,0.14328503608703613
17,0.15560007095336914
18,0.16320180892944336
19,0.10240483283996582
20,0.1641688346862793
21,0.1483309268951416
22,0.12164688110351562
23,0.13466382026672363
24,0.12072181701660156
25,0.06322503089904785
26,0.0880439281463623
27,0.06318306922912598
28,0.06219887733459473
29,0.06283211708068848
30,0.06508493423461914
31,0.10123205184936523
32,0.18200206756591797
33,0.08542180061340332
34,0.10867190361022949
35,0.15823817253112793
36,0.1287829875946045
37,0.061257123947143555
38,0.12000012397766113
39,0.147477388381958
40,0.10549092292785645
41,0.14895915985107422
42,0.09264397621154785
43,0.14271998405456543
44,0.0620880126953125
45,0.05902910232543945
46,0.08003687858581543
47,0.0650031566619873
48,0.0611271858215332
49,0.06348323822021484
50,0.06469297409057617
51,0.06287074089050293
52,0.06494283676147461
53,0.09569025039672852
54,0.19553565979003906
55,0.19557905197143555
56,0.17161011695861816
57,0.10383892059326172
58,0.11641597747802734
59,0.12332487106323242
60,0.1877429485321045
61,0.20351004600524902
62,0.11546206474304199
63,0.13507485389709473
64,0.18620014190673828
65,0.15764594078063965
66,0.13985610008239746
67,0.14907598495483398
68,0.10476398468017578
69,0.15311121940612793
70,0.21883606910705566
71,0.09504818916320801
72,0.13729214668273926
73,0.1567673683166504
74,0.1796579360961914
75,0.11057472229003906
76,0.16140413284301758
77,0.12433576583862305
78,0.06938695907592773
79,0.09068584442138672
80,0.09531378746032715
81,0.12828493118286133
82,0.13649630546569824
83,0.1268160343170166
84,0.14690780639648438
85,0.2388458251953125
86,0.09799790382385254
87,0.17752695083618164
88,0.09070396423339844
89,0.1360630989074707
90,0.10781073570251465
91,0.14497089385986328
92,0.13624095916748047
93,0.13218998908996582
94,0.0961458683013916
95,0.18794775009155273
96,0.1207280158996582
97,0.15886712074279785
98,0.10669183731079102
99,0.15875816345214844
100,0.09966015815734863
