Apple Releases New AirPods Pro 2 Firmware Ahead of Hearing Aid Feature Launch.
Request Number,Latency (seconds)
1,0.11943697929382324
2,0.13036108016967773
3,0.08816313743591309
4,0.15812230110168457
5,0.14588069915771484
6,0.15202617645263672
7,0.09013080596923828
8,0.13480496406555176
9,0.21578598022460938
10,0.14169001579284668
11,0.12404584884643555
12,0.12635207176208496
13,0.09821414947509766
14,0.06822609901428223
15,0.07232904434204102
16,0.06426000595092773
17,0.0665578842163086
18,0.06326794624328613
19,0.188187837600708
20,0.08958792686462402
21,0.0625619888305664
22,0.09254574775695801
23,0.13814711570739746
24,0.1345229148864746
25,0.13310694694519043
26,0.12555408477783203
27,0.10918712615966797
28,0.1791391372680664
29,0.09781503677368164
30,0.12156891822814941
31,0.14201807975769043
32,0.1430521011352539
33,0.20077204704284668
34,0.10135507583618164
35,0.16515493392944336
36,0.1878829002380371
37,0.11073017120361328
38,0.16194701194763184
39,0.14097213745117188
40,0.11123275756835938
41,0.07347583770751953
42,0.2074587345123291
43,0.0909738540649414
44,0.1197659969329834
45,0.12055706977844238
46,0.13327288627624512
47,0.11803030967712402
48,0.09881711006164551
49,0.07882404327392578
50,0.14267301559448242
51,0.12479186058044434
52,0.10785794258117676
53,0.14560723304748535
54,0.11330080032348633
55,0.15919709205627441
56,0.09564208984375
57,0.06589794158935547
58,0.11687874794006348
59,0.13238096237182617
60,0.1171722412109375
61,0.18273615837097168
62,0.08409714698791504
63,0.13658881187438965
64,0.12230396270751953
65,0.09311485290527344
66,0.14647793769836426
67,0.14530587196350098
68,0.1487259864807129
69,0.18223905563354492
70,0.16623520851135254
71,0.1273181438446045
72,0.11904215812683105
73,0.11736702919006348
74,0.167496919631958
75,0.11053204536437988
76,0.13245701789855957
77,0.21408486366271973
78,0.21637415885925293
79,0.15596508979797363
80,0.12963366508483887
81,0.08118128776550293
82,0.16503095626831055
83,0.13089489936828613
84,0.13622689247131348
85,0.18523693084716797
86,0.07332420349121094
87,0.08927321434020996
88,0.12842202186584473
89,0.1277918815612793
90,0.13373708724975586
91,0.10017609596252441
92,0.13890480995178223
93,0.10123777389526367
94,0.16773605346679688
95,0.2315833568572998
96,0.17327594757080078
97,0.12557196617126465
98,0.13062071800231934
99,0.1823439598083496
100,0.1612229347229004
